catalog_row,metric_param_name,corrected_primary_source,final_status,disposition,match_detail
909,TIME-SINCE-LASTS-CLEAR,NVOS gNMI explicit allowlist,ABSENT-BLOCKER,blocker,gnmi leaf not live: /interfaces/interface/phy-diag/state/time-since-last-clear-min
910,DEVICE-ID,NMX-T explicit allowlist,PRESENT,implemented,nmxt label dim
911,FEC-HIST-0,NVOS gNMI explicit allowlist,PRESENT,implemented,gnmi exact
912,FEC-HIST-1,NVOS gNMI explicit allowlist,PRESENT,implemented,gnmi exact
913,FEC-HIST-2,NVOS gNMI explicit allowlist,PRESENT,implemented,gnmi exact
914,FEC-HIST-3,NVOS gNMI explicit allowlist,PRESENT,implemented,gnmi exact
915,FEC-HIST-4,NVOS gNMI explicit allowlist,PRESENT,implemented,gnmi exact
916,FEC-HIST-5,NVOS gNMI explicit allowlist,PRESENT,implemented,gnmi exact
917,FEC-HIST-6,NVOS gNMI explicit allowlist,PRESENT,implemented,gnmi exact
918,FEC-HIST-7,NVOS gNMI explicit allowlist,PRESENT,implemented,gnmi exact
919,FEC-HIST-8,NVOS gNMI explicit allowlist,PRESENT,implemented,gnmi exact
920,FEC-HIST-9,NVOS gNMI explicit allowlist,PRESENT,implemented,gnmi exact
921,FEC-HIST-10,NVOS gNMI explicit allowlist,PRESENT,implemented,gnmi exact
922,FEC-HIST-11,NVOS gNMI explicit allowlist,PRESENT,implemented,gnmi exact
923,FEC-HIST-12,NVOS gNMI explicit allowlist,PRESENT,implemented,gnmi exact
924,FEC-HIST-13,NVOS gNMI explicit allowlist,PRESENT,implemented,gnmi exact
925,FEC-HIST-14,NVOS gNMI explicit allowlist,PRESENT,implemented,gnmi exact
926,FEC-HIST-15,NVOS gNMI explicit allowlist,PRESENT,implemented,gnmi exact
931,PLR-CODES-LOSS,NMX-T explicit allowlist,ABSENT-BLOCKER,blocker,nmxt not live: HiRetransmissionRate
932,PORT-BUFFER-OVERRUN-ERRORS,NVOS gNMI explicit allowlist,PRESENT,implemented,gnmi exact
933,LINK-SPEED-ACTIVE,NVOS gNMI explicit allowlist,PRESENT,implemented,gnmi exact
934,PLR-RCV-CODES,NVOS gNMI explicit allowlist,PRESENT,implemented,gnmi exact
935,PLR-RCV-CODES-ERR,NVOS gNMI explicit allowlist,PRESENT,implemented,gnmi exact
936,PLR-RCV-UNCORRECTABLES-CODE,NVOS gNMI explicit allowlist,PRESENT,implemented,gnmi exact
937,PLR-XMIT-CODES,NVOS gNMI explicit allowlist,PRESENT,implemented,gnmi exact
938,PLR-XMIT-RETRYS-CODES,NVOS gNMI explicit allowlist,PRESENT,implemented,gnmi exact
939,PLR-XMIT-RETRYS-EVENTS,NVOS gNMI explicit allowlist,PRESENT,implemented,gnmi exact
940,PLR-SYNC-EVENTS,NVOS gNMI explicit allowlist,PRESENT,implemented,gnmi exact
941,PLR-XMIT-RETRY-CODES-WITHIN-MINUTE,NVOS gNMI explicit allowlist,PRESENT,implemented,gnmi exact
942,PLR-BW-LOSS-PERCENT,NVOS gNMI explicit allowlist,IMPLEMENTED,implemented,gnmi interfaces/interface/phy-diag/state/plr-bw-loss-percent -> interface_plr_bw_loss_percent (percent)
943,RQ-GENERAL-ERROR,NVOS gNMI explicit allowlist,PRESENT,implemented,gnmi exact
944,TIME-TO-LINKS-UP,NMX-T explicit allowlist,PRESENT,implemented,nmxt family
945,STATUS-OPCODE,NMX-T explicit allowlist,PRESENT,implemented,nmxt family
946,STATUS-MESSAGE,NMX-T explicit allowlist,PRESENT,implemented,OTLP-only label status_message; excluded from Prometheus series to bound cardinality
947,DOWN-BLAME,NMX-T explicit allowlist,PRESENT,implemented,StateSet down_blame (state label unknown/local_phy/remote_phy 0/1 per state) one series per port
948,LOCAL-REASON-OPCODE,NMX-T explicit allowlist,PRESENT,implemented,nmxt label dim
949,REMOTE-REASON-OPCODE,NMX-T explicit allowlist,PRESENT,implemented,nmxt family
950,PHY-RECEIVED-BITS,NVOS gNMI explicit allowlist,PRESENT,implemented,gnmi exact
951,PORT-RCV-CONSTRAINT-ERRORS,NVOS gNMI explicit allowlist,PRESENT,implemented,gnmi exact
952,PORT-XMIT-CONSTRAINTS-ERRORS,NVOS gNMI explicit allowlist,PRESENT,implemented,gnmi exact
953,PORT-LOCAL-PHYSICAL-ERRORS,NVOS gNMI explicit allowlist,PRESENT,implemented,gnmi exact
954,SYNC-HEADER-ERROR-COUNTER,NVOS gNMI explicit allowlist,PRESENT,implemented,gnmi exact
955,PORT-DLID-MAPPING-ERRORS,NVOS gNMI explicit allowlist,PRESENT,implemented,gnmi exact
956,LOCAL-LINK-INTEGRITY-ERRORS,NVOS gNMI explicit allowlist,PRESENT,implemented,gnmi exact
957,PORT-VL-MAPPING-ERRORS,NVOS gNMI explicit allowlist,PRESENT,implemented,gnmi exact
958,PORT-LOOPING-ERRORS,NVOS gNMI explicit allowlist,PRESENT,implemented,gnmi exact
959,PORT-INACTIVE-DISCARDS,NVOS gNMI explicit allowlist,PRESENT,implemented,gnmi exact
960,LINK-WIDTH-ACTIVE,NVOS gNMI explicit allowlist,PRESENT,implemented,gnmi exact
961,PHY-MANAGER-STATE,NVOS gNMI explicit allowlist,IMPLEMENTED,implemented,gnmi interface_phy_manager_state StateSet (state label, 0/1 per state)
962,MTU,NVOS gNMI explicit allowlist,PRESENT,implemented,gnmi exact
963,MAX-SUPPORTED-MTU,NVOS gNMI explicit allowlist,PRESENT,implemented,gnmi exact
964,SUPPORTED-WIDTH,NVOS gNMI explicit allowlist,PRESENT,implemented,gnmi exact
965,VL-CAPABILITIES,NVOS gNMI explicit allowlist,IMPLEMENTED,implemented,gnmi info metric interface_vl_capabilities_info
966,FAN-STATE,NVOS gNMI explicit allowlist,PRESENT,implemented,gnmi exact
967,FAN-LED,NVUE REST explicit mapping,IMPLEMENTED,implemented,nvue-rest /nvue_v1/platform/environment FAN_STATUS.state -> fan_led StateSet (state label, 0/1 per state: green/ok=ok else not_ok)
968,CABLE-PART-NUMBER,NMX-T explicit allowlist,PRESENT,implemented,nmxt label dim
969,CABLE-SERIAL-NUMBER,NMX-T explicit allowlist,PRESENT,implemented,nmxt label dim
970,CABLE-TRANSMITTER-TECHNOLOGY,NMX-T explicit allowlist,PRESENT,implemented,nmxt family
971,CABLE-TYPE,NMX-T explicit allowlist,PRESENT,implemented,nmxt label dim
972,CABLE-VENDOR,NMX-T explicit allowlist,PRESENT,implemented,nmxt label dim
973,CABLE-LENGTH,NMX-T explicit allowlist,PRESENT,implemented,nmxt label dim
974,CABLE-IDENTIFIER,NMX-T explicit allowlist,PRESENT,implemented,nmxt label dim
975,CABLE-REV,NMX-T explicit allowlist,PRESENT,implemented,nmxt label dim
976,CABLE-FW-VERSION,NMX-T explicit allowlist,PRESENT,implemented,nmxt label dim
977,CABLE-RX-POWER-LANE0,NMX-T explicit allowlist,PRESENT,implemented,nmxt family
978,CABLE-RX-POWER-LANE1,NMX-T explicit allowlist,PRESENT,implemented,nmxt family
979,CABLE-DIAG-SUPPLY-VOLTAGE,NMX-T explicit allowlist,PRESENT,implemented,nmxt family
980,CABLE-TEMP,NMX-T explicit allowlist,PRESENT,implemented,numeric metric cable_temperature_celsius (celsius) parsed from NMX-T Module_Temperature label; one series per port
981,CABLE-TEMP-ALARM,NVOS gNMI explicit allowlist,ABSENT-BLOCKER,blocker,gnmi leaf not live: /components/component/transceiver/physical-channels/transceiver-diag/state/temp-high-alarm-flag
982,CABLE-VOLTAGE-ALARM,NVOS gNMI explicit allowlist,ABSENT-BLOCKER,blocker,gnmi leaf not live: /components/component/transceiver/physical-channels/transceiver-diag/state/vcc-high-alarm-flag
983,CABLE-TX-CDR-LOL,NMX-T explicit allowlist,PRESENT,implemented,nmxt cable fault flag (re-sourced; gNMI transceiver path absent on NVLink)
984,CABLE-RX-CDR-LOL,NMX-T explicit allowlist,PRESENT,implemented,nmxt cable fault flag (re-sourced; gNMI transceiver path absent on NVLink)
985,CABLE-TX-LOS,NMX-T explicit allowlist,PRESENT,implemented,nmxt cable fault flag (re-sourced; gNMI transceiver path absent on NVLink)
986,CABLE-RX-LOS,NMX-T explicit allowlist,PRESENT,implemented,nmxt cable fault flag (re-sourced; gNMI transceiver path absent on NVLink)
987,LINK-PARTNER-DESCRIPTION,NMX-T explicit allowlist,PRESENT,implemented,nmxt label dim
988,LINK-PARTNER-NODE-GUID,NMX-T explicit allowlist,PRESENT,implemented,nmxt label dim
989,LINK-PARTNER-LID,NMX-T explicit allowlist,PRESENT,implemented,nmxt family
990,LINK-PARTNER-PORT-NUM,NMX-T explicit allowlist,PRESENT,implemented,nmxt label dim
1174,CPU-STATE,NVOS gNMI explicit allowlist,PRESENT,implemented,gnmi exact
1241,DRIVE-TEMP-CRITICAL,source-equivalent required; no new CLI collector by default,IMPLEMENTED,implemented,nvue rest /platform/environment/temperature (.crit/.max/.state)
1242,DRIVE-TEMP-MAX,source-equivalent required; no new CLI collector by default,IMPLEMENTED,implemented,nvue rest /platform/environment/temperature (.crit/.max/.state)
1243,DRIVE-TEMP-STATE,source-equivalent required; no new CLI collector by default,IMPLEMENTED,implemented,nvue rest /platform/environment/temperature (.crit/.max/.state)
1244,DRIVE-TEMP-CURRENT,source-equivalent required; no new CLI collector by default,IMPLEMENTED,implemented,nvue rest /platform/environment/temperature .current (corrected from gNMI rescue)
1245,HSC-VINDC-TEMP-CRITICAL,source-equivalent required; no new CLI collector by default,IMPLEMENTED,implemented,nvue rest /platform/environment/temperature (.crit/.max/.state)
1246,HSC-VINDC-TEMP-MAX,source-equivalent required; no new CLI collector by default,IMPLEMENTED,implemented,nvue rest /platform/environment/temperature (.crit/.max/.state)
1247,HSC-VINDC-TEMP-STATE,source-equivalent required; no new CLI collector by default,IMPLEMENTED,implemented,nvue rest /platform/environment/temperature (.crit/.max/.state)
1248,HSC-VINDC-TEMP-CURRENT,source-equivalent required; no new CLI collector by default,IMPLEMENTED,implemented,nvue rest /platform/environment/temperature .current (corrected from gNMI rescue)
1249,PDB-CONV-TEMP-CRITICAL,source-equivalent required; no new CLI collector by default,IMPLEMENTED,implemented,nvue rest /platform/environment/temperature (.crit/.max/.state)
1251,PDB-CONV-TEMP-STATE,source-equivalent required; no new CLI collector by default,IMPLEMENTED,implemented,nvue rest /platform/environment/temperature (.crit/.max/.state)
1252,PDB-CONV-TEMP-CURRENT,source-equivalent required; no new CLI collector by default,IMPLEMENTED,implemented,nvue rest /platform/environment/temperature .current (corrected from gNMI rescue)
1253,PMIC-TEMP-CRITICAL,source-equivalent required; no new CLI collector by default,IMPLEMENTED,implemented,nvue rest /platform/environment/temperature (.crit/.max/.state)
1255,PMIC-TEMP-STATE,source-equivalent required; no new CLI collector by default,IMPLEMENTED,implemented,nvue rest /platform/environment/temperature (.crit/.max/.state)
1256,PMIC-TEMP-CURRENT,source-equivalent required; no new CLI collector by default,IMPLEMENTED,implemented,nvue rest /platform/environment/temperature .current (corrected from gNMI rescue)
1259,SWB-ASIC-PCB-TEMP-STATE,source-equivalent required; no new CLI collector by default,IMPLEMENTED,implemented,nvue rest /platform/environment/temperature (.crit/.max/.state)
1260,SWB-ASIC-PCB-TEMP-CURRENT,source-equivalent required; no new CLI collector by default,IMPLEMENTED,implemented,nvue rest /platform/environment/temperature .current (corrected from gNMI rescue)
1688,LINK-RECOVERY-SUCCESS-CNT,NMX-T explicit allowlist,PRESENT,implemented,nmxt family
1689,TOTAL-LINK-RECOVERY-SUCCESS-CNT,NMX-T explicit allowlist,PRESENT,implemented,nmxt family
1690,TIME-SINCE-LAST-RECOVERY,NMX-T explicit allowlist,PRESENT,implemented,nmxt family
1691,TIME-BTWN-TWO-RECOVERIES,NMX-T explicit allowlist,PRESENT,implemented,nmxt family
1692,RECOVERY-ATTEMPTS-L1-CNT,NMX-T explicit allowlist,PRESENT,implemented,nmxt family
1693,RECOVERY-ATTEMPTS-L2-CNT,NMX-T explicit allowlist,PRESENT,implemented,nmxt family
1694,RECOVERY-CYCLE-DURATION,NMX-T explicit allowlist,PRESENT,implemented,nmxt family
1695,SERDES-RECOVERY-CYCLE-DURATION,NMX-T explicit allowlist,PRESENT,implemented,nmxt family
1696,CONTAIN-DRAIN-XMIT-DISCARD,NMX-T explicit allowlist,PRESENT,implemented,nmxt family
1697,CONTAIN-DRAIN-RCV-DISCARD,NMX-T explicit allowlist,PRESENT,implemented,nmxt family
1698,DEVICE-NUM,NMX-T explicit allowlist,PRESENT,implemented,nmxt label dim
1699,BOARD-TYPE,NMX-T explicit allowlist,PRESENT,implemented,nmxt label dim
1700,CHASSIS-SLOT-IDX,NMX-T explicit allowlist,PRESENT,implemented,nmxt label dim
1701,TRAY-IDX,NMX-T explicit allowlist,PRESENT,implemented,nmxt label dim
1702,TOPOLOGY-ID,NMX-T explicit allowlist,PRESENT,implemented,nmxt label dim
1703,CHASSIS-ID,NMX-T explicit allowlist,PRESENT,implemented,nmxt label dim
1704,RAW-ERR-LANE-2,NMX-T explicit allowlist,PRESENT,implemented,nmxt family
1705,RAW-ERR-LANE-3,NMX-T explicit allowlist,PRESENT,implemented,nmxt family
1706,RQ-NUM-WRFE,NMX-T explicit allowlist,ABSENT-BLOCKER,blocker,nmxt not live: rq_num_wrfe
1707,RQ-NUM-LLE,NMX-T explicit allowlist,ABSENT-BLOCKER,blocker,nmxt not live: rq_num_lle
1708,SQ-NUM-WRFE,NMX-T explicit allowlist,ABSENT-BLOCKER,blocker,nmxt not live: sq_num_wrfe
2293,CABLE-OPER-STATUS,NVOS gNMI explicit allowlist,ABSENT-BLOCKER,blocker,gnmi leaf not live: /components/component/transceiver/transceiver-diag/state/module-oper-status
2294,CABLE-SNR-MEDIA-LANE-N,no source listed in catalog; no live gNMI/NMX-T source,ABSENT-BLOCKER,blocker,false token match (NMX-T has rx_power_lane_0/1 but no SNR field); not emitted; source-owner follow-up open
2295,CABLE-SNR-HOST-LANE-N,no source listed in catalog; no live gNMI/NMX-T source,ABSENT-BLOCKER,blocker,false token match (NMX-T has rx_power_lane_0/1 but no SNR field); not emitted; source-owner follow-up open
2296,NVSWITCH-CABLE-RX-POWER-LANE-LOW-N,NVOS gNMI explicit allowlist,ABSENT-BLOCKER,blocker,gnmi leaf not live: /components/component/transceiver/thresholds/threshold/state/input-power-lower
2297,NVSWITCH-CABLE-TX-POWER-LANE-LOW-N,NVOS gNMI explicit allowlist,ABSENT-BLOCKER,blocker,gnmi leaf not live: /components/component/transceiver/thresholds/threshold/state/output-power-lower
2298,NVSWITCH-CABLE-RX-POWER-LANE-HIGH-N,NVOS gNMI explicit allowlist,ABSENT-BLOCKER,blocker,gnmi leaf not live: /components/component/transceiver/thresholds/threshold/state/input-power-upper
2299,NVSWITCH-CABLE-TX-POWER-LANE-HIGH-N,NVOS gNMI explicit allowlist,ABSENT-BLOCKER,blocker,gnmi leaf not live: /components/component/transceiver/thresholds/threshold/state/output-power-upper
